source_split,source_hospital,target_hospital,n_triplets,within_mean,cross_mean,within_median,cross_median,mean_paired_difference,paired_smd,mean_pair_distance,source_table,population,protocol_hash,git_commit,feature,n_pairs,paired_mean_difference,train_scale,paired_smd_status,candidate_sources,accepted_sources,coverage
val,1,4.0,,0.9362633634356092,0.9374695699769654,0.9975043402777778,0.9979383680555556,,0.0067878958070866,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,tissue_fraction,102552.0,0.0012062065413562,0.1776996252795997,estimable,,,
val,1,4.0,,1.2646364771042984,1.2527985802324677,1.0,1.0,,-0.0083222816099395,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,component_count,102552.0,-0.0118378968718308,1.4224340663613888,estimable,,,
val,1,4.0,,0.8942397734532562,0.89547730602609,0.9975043402777778,0.9979383680555556,,0.0044717388377445,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_mean,102552.0,0.0012375325728339,0.2767452701817624,estimable,,,
val,1,4.0,,0.0298064371951887,0.0300800916628743,0.0,0.0,,0.0025231659644635,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_std,102552.0,0.0002736544676856,0.1084567846664975,estimable,,,
val,1,4.0,,0.932847051619409,0.933816880577455,0.9975043402777778,0.9979383680555556,,0.0051113213659021,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_max,102552.0,0.0009698289580462,0.1897413386127484,estimable,,,
val,1,4.0,,1.2095570344463282,1.20691748492304,1.0420368115201326,1.035302992672146,,-0.0049991136892523,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,normalized_perimeter,102552.0,-0.0026395495232884,0.5280034996930081,estimable,,,
val,1,4.0,,0.6089397805360129,0.6127946466283918,0.714189515255049,0.7285416713304949,,0.014045898410407,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,compactness,102552.0,0.0038548660923787,0.2744478124320315,estimable,,,
val,1,4.0,,0.1556244279583036,0.1523853442892022,0.0626897782656978,0.0572241443526114,,-0.0130566606285231,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,eccentricity,102552.0,-0.0032390836691014,0.2480790273452784,estimable,,,
val,1,4.0,,0.4961628277025254,0.4960049782639657,0.4947916666666667,0.4947916666666667,,-0.0031041491587627,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,centroid_x,102552.0,-0.0001578494385596,0.0508511126516255,estimable,,,
val,1,4.0,,0.4959251962602539,0.495530718008617,0.4947916666666667,0.4947916666666667,,-0.0078484126922617,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,centroid_y,102552.0,-0.0003944782516369,0.0502621698303245,estimable,,,
val,1,4.0,,0.9234611236860324,0.9259813771306264,1.0,1.0,,0.0111592312732718,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_0,102552.0,0.0025202534445939,0.22584471841088,estimable,,,
val,1,4.0,,0.9349338094942078,0.936807249310106,1.0,1.0,,0.0089331092585044,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_1,102552.0,0.0018734398158982,0.2097186726015617,estimable,,,
val,1,4.0,,0.93149938567751,0.9325166954173248,1.0,1.0,,0.0044797088499806,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_2,102552.0,0.0010173097398149,0.2270928254230879,estimable,,,
val,1,4.0,,0.9352859936300608,0.9362630608282873,1.0,1.0,,0.0046861978420516,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_3,102552.0,0.0009770671982262,0.2084989219743439,estimable,,,
val,1,4.0,,0.9524001200305698,0.9542656656044008,1.0,1.0,,0.011824935066061,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_4,102552.0,0.0018655455738308,0.1577637055433113,estimable,,,
val,1,4.0,,0.9403153114547984,0.9414192864504104,1.0,1.0,,0.0052251434547901,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_5,102552.0,0.0011039749956119,0.211281279674705,estimable,,,
val,1,4.0,,0.932541444675628,0.932802087980366,1.0,1.0,,0.0011651306282156,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_6,102552.0,0.000260643304738,0.223703075368688,estimable,,,
val,1,4.0,,0.9402729263264002,0.9409404135371569,1.0,1.0,,0.0031935205371013,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_7,102552.0,0.0006674872107564,0.209012969543122,estimable,,,
val,1,4.0,,0.9356601559452764,0.936230293534012,1.0,1.0,,0.0025192139627866,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_8,102552.0,0.0005701375887354,0.2263156671713614,estimable,,,
val,1,4.0,,0.0,0.0,0.0,0.0,,0.0,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,empty_mask,102552.0,0.0,0.0229947313033299,estimable,,,
val,1,0.0,,,,,,,,,directed_coverage,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,,,,,,34904.0,34196.0,0.9797157918863167
val,1,3.0,,,,,,,,,directed_coverage,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,,,,,,34904.0,34009.0,0.974358239743296
val,1,4.0,,,,,,,,,directed_coverage,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,,,,,,34904.0,34184.0,0.9793719917487969
val,1,,,,,,,,,,common_support_coverage,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,,,,,,34904.0,33947.0,0.9725819390327756
