source_split,source_hospital,target_hospital,feature,n_pairs,within_mean,cross_mean,within_median,cross_median,paired_mean_difference,train_scale,paired_smd,paired_smd_status
val,1,4,eccentricity,102552,0.15562442795830364,0.15238534428920222,0.06268977826569785,0.0572241443526114,-0.003239083669101426,0.24807902734527842,-0.013056660628523195,estimable
val,1,4,centroid_x,102552,0.4961628277025254,0.4960049782639657,0.4947916666666667,0.4947916666666667,-0.00015784943855969125,0.05085111265162558,-0.0031041491587627083,estimable
val,1,4,centroid_y,102552,0.49592519626025394,0.495530718008617,0.4947916666666667,0.4947916666666667,-0.0003944782516369363,0.05026216983032455,-0.00784841269226178,estimable
val,1,4,grid_0,102552,0.9234611236860325,0.9259813771306264,1.0,1.0,0.002520253444593962,0.22584471841088005,0.011159231273271826,estimable
val,1,4,grid_1,102552,0.9349338094942078,0.9368072493101061,1.0,1.0,0.001873439815898276,0.20971867260156174,0.008933109258504456,estimable
val,1,4,grid_2,102552,0.9314993856775099,0.9325166954173248,1.0,1.0,0.0010173097398149232,0.22709282542308798,0.004479708849980673,estimable
val,1,4,grid_3,102552,0.9352859936300608,0.9362630608282871,1.0,1.0,0.0009770671982262658,0.2084989219743439,0.00468619784205165,estimable
val,1,4,grid_4,102552,0.9524001200305698,0.9542656656044007,1.0,1.0,0.001865545573830837,0.15776370554331137,0.011824935066061077,estimable
val,1,4,grid_5,102552,0.9403153114547985,0.9414192864504105,1.0,1.0,0.0011039749956119822,0.21128127967470503,0.0052251434547901975,estimable
val,1,4,grid_6,102552,0.9325414446756279,0.932802087980366,1.0,1.0,0.00026064330473808407,0.223703075368688,0.001165130628215613,estimable
val,1,4,grid_7,102552,0.9402729263264002,0.9409404135371567,1.0,1.0,0.0006674872107564943,0.20901296954312204,0.0031935205371013266,estimable
val,1,4,grid_8,102552,0.9356601559452765,0.936230293534012,1.0,1.0,0.0005701375887354708,0.22631566717136145,0.0025192139627866535,estimable
val,1,4,empty_mask,102552,0.0,0.0,0.0,0.0,0.0,0.02299473130332993,0.0,estimable
